field_name,analysis_name,source_table,category,description,notes
outcomes_longitudinal__secondary_no_washout_excess_tsr,outcomes_longitudinal_secondary_no_washout_excess_tsr,outcomes_longitudinal.csv,Forward market outcome,Company TSR minus S&P 500 total return over the no-washout return window.,Used for market-return washout sensitivity analyses.
outcomes_longitudinal__primary_three_month_washout_partial_excess_tsr,outcomes_longitudinal_primary_three_month_washout_partial_excess_tsr,outcomes_longitudinal.csv,Forward market outcome,Company TSR minus S&P 500 total return over the primary three-month-washout return window.,Preferred excess-TSR outcome for v2 main models.
outcomes_longitudinal__sensitivity_six_month_washout_partial_excess_tsr,outcomes_longitudinal_sensitivity_six_month_washout_partial_excess_tsr,outcomes_longitudinal.csv,Forward market outcome,Company TSR minus S&P 500 total return over the six-month-washout return window.,Used for market-return washout sensitivity analyses.
preculture_controls_longitudinal__publication_safe_roa_average,preculture_controls_longitudinal_publication_safe_roa_average,preculture_controls_longitudinal.csv,Pre-culture accounting control,pre-culture average of return on assets using publication-safe annual accounting observations.,Preferred for avoiding look-ahead bias in pre-culture accounting controls.
preculture_controls_longitudinal__publication_safe_roa_trend,preculture_controls_longitudinal_publication_safe_roa_trend,preculture_controls_longitudinal.csv,Pre-culture accounting control,pre-culture linear trend of return on assets using publication-safe annual accounting observations.,Preferred for avoiding look-ahead bias in pre-culture accounting controls.
preculture_controls_longitudinal__publication_safe_operating_margin_average,preculture_controls_longitudinal_publication_safe_operating_margin_average,preculture_controls_longitudinal.csv,Pre-culture accounting control,pre-culture average of operating margin using publication-safe annual accounting observations.,Preferred for avoiding look-ahead bias in pre-culture accounting controls.
preculture_controls_longitudinal__publication_safe_operating_margin_trend,preculture_controls_longitudinal_publication_safe_operating_margin_trend,preculture_controls_longitudinal.csv,Pre-culture accounting control,pre-culture linear trend of operating margin using publication-safe annual accounting observations.,Preferred for avoiding look-ahead bias in pre-culture accounting controls.
preculture_controls_longitudinal__publication_safe_revenue_growth_average,preculture_controls_longitudinal_publication_safe_revenue_growth_average,preculture_controls_longitudinal.csv,Pre-culture accounting control,pre-culture average of revenue growth using publication-safe annual accounting observations.,Preferred for avoiding look-ahead bias in pre-culture accounting controls.
preculture_controls_longitudinal__publication_safe_assets_level,preculture_controls_longitudinal_publication_safe_assets_level,preculture_controls_longitudinal.csv,Pre-culture firm control,Latest pre-culture total assets level using publication-safe annual accounting observations.,
preculture_controls_longitudinal__publication_safe_leverage_level,preculture_controls_longitudinal_publication_safe_leverage_level,preculture_controls_longitudinal.csv,Pre-culture firm control,Latest pre-culture leverage / debt-to-assets level using publication-safe annual accounting observations.,
preculture_controls_longitudinal__fiscal_period_revenue_growth_trend,preculture_controls_longitudinal_fiscal_period_revenue_growth_trend,preculture_controls_longitudinal.csv,Pre-culture accounting control,pre-culture linear trend of revenue growth using fiscal-period annual accounting observations.,Sensitivity/control variant based on fiscal period ends.
preculture_controls_longitudinal__stock_2020_2022_avg_return,preculture_controls_longitudinal_stock_2020_2022_avg_return,preculture_controls_longitudinal.csv,Pre-culture market control,Average annual stock return across 2020-2022.,Used as the pre-culture stock trend/control for TSR models.
pre2023_headcount__publication_safe_log_headcount,pre2023_headcount_publication_safe_log_headcount,pre2023_headcount.csv,Pre-culture headcount control,Natural log of publication-safe pre-2023 headcount.,Main size control in v2 reduced main model.
