Industry,Work-life balance,Transparency,Toxic culture (R),Supportive culture,Strategy,Leadership,Innovation,Open to feedback,Agility,Ticker,Listing status,preperiod__prior_roa,preperiod__prior_revenue_growth,preperiod__prior_operating_margin,preperiod__prior_stock_return,preperiod__prior_stock_volatility,outcomes_longitudinal__forward_roa,outcomes_longitudinal__forward_operating_margin,outcomes_longitudinal__forward_revenue_growth,outcomes_longitudinal__secondary_no_washout_excess_tsr,outcomes_longitudinal__primary_three_month_washout_partial_excess_tsr,outcomes_longitudinal__sensitivity_six_month_washout_partial_excess_tsr,preculture_controls_longitudinal__publication_safe_roa_average,preculture_controls_longitudinal__publication_safe_roa_trend,preculture_controls_longitudinal__publication_safe_operating_margin_average,preculture_controls_longitudinal__publication_safe_operating_margin_trend,preculture_controls_longitudinal__publication_safe_revenue_growth_average,preculture_controls_longitudinal__publication_safe_assets_level,preculture_controls_longitudinal__publication_safe_leverage_level,preculture_controls_longitudinal__fiscal_period_revenue_growth_trend,preculture_controls_longitudinal__stock_2020_2022_avg_return,pre2023_headcount__publication_safe_log_headcount
Business Consulting,0.544642648,0.233807946,0.79762367,-1.159603731,0.106979884,0.136349989,,0.036506226,-0.584888442,ACN,Public (direct listing),0.14550731549302748,0.21888332088710705,0.15207868649544792,-0.30139056809190024,0.3320910609373711,0.1171549230338525,0.15752401194545682,0.055859668653951644,-0.6024005045463098,-0.6098380970454187,-0.36418231315218363,0.14512499042402763,-0.00457090498178981,0.14893639534208686,0.002241229353512212,0.12820948555606804,47263390000.0,,0.09657546044959249,0.1878542301445382,13.488394416267086
Specialty Retail & Apparel,1.119199321,,0.273524396,0.649571271,,1.71059534,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Business Services,2.060383483,-1.585123197,0.686542396,-0.825348381,1.218658179,-0.197603569,,-0.200992139,0.563256997,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Outsourcing & Staffing,-1.19838897,,0.227725716,0.565463755,,0.333694094,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Outsourcing & Staffing,0.53571192,,0.810606354,0.183804862,,0.446663882,,,,AHEXY,Public (direct listing),0.02579963789981895,0.12845481884576837,0.02191201353637902,-0.3257750014604699,0.39115275389703924,0.025560992070187277,0.023999654681227608,0.015252108379687712,-0.32895816040719705,-0.4945143482117649,-0.36975449319362075,0.049388959123472395,,0.03761516062819228,,,11865000000.0,0.29329962073324906,,-0.1372953944237223,
Specialty Retail & Apparel,0.646918403,,0.550680236,1.399862815,,0.410082661,,,,ADDYY,Public (direct listing),0.03015372487189594,0.060139399076952094,0.032384167740215894,-0.5295108990434234,0.5118881360537095,0.06933625345312461,0.08526732673267327,0.07134731025516006,-0.5424631254160207,-0.4210931866867388,-0.23765754714779752,0.09558657451325835,,0.0936705283978525,,,22137000000.0,0.24081853909743867,,-0.20185687954023693,
Software & IT Services,0.497063503,0.690587774,-0.098857715,0.783656928,-0.132724477,0.20893445,1.552811491,0.180150621,-2.396603423,ADBE,Public (direct listing),0.17507822565801584,0.11536268609439349,0.34635919572872886,-0.3659246718090453,0.45823268756444957,0.2452857397338129,0.36074291610445275,0.12685169419376807,-0.6035741000314615,-0.5752849793423445,-0.3841531499701324,0.17859003539136442,0.017429300704867274,0.3297922621371606,0.03750894860041886,0.18928346384222727,27241000000.0,0.15135274035461252,-0.01825894392217855,0.08670334907844224,10.16539017200042
Business Services,-0.489467804,1.697550392,0.144198888,0.438344313,0.362103692,0.582559903,,0.356213507,-0.529422785,ADP,Public (direct listing),0.04675731985374563,0.0994908499606808,0.23052072031663867,0.026569054625596333,0.2840862015513355,0.06768330505732366,0.2651142334668179,0.06954799207635509,-0.5728872947927017,-0.506710795308784,-0.3662984952649839,0.05443711753788978,-0.0033636906306625616,,,0.05240825629889908,63068200000.0,,0.035121292692972476,0.1814447686773536,9.64859530290734
Outsourcing & Staffing,-0.024646872,,-0.990235433,-1.222689509,,-0.913891077,,,,ADT,Public (direct listing),0.007444096470076486,0.042634501488677756,0.16774237865548858,0.1406990188595636,0.42054797422645357,0.03919822024921574,0.25586747722848563,0.008708543098136401,-0.4400716039093151,-0.43157214095180285,-0.35337720726885924,-0.028590163046498678,0.003098945536023406,0.016283664341698305,-0.01772342218519386,0.0177272060179553,16894351000.0,0.006960433105716817,0.08407338626614326,0.08163345437217913,10.126631103850338
Specialty Retail & Apparel,0.918495408,,-0.036241182,-1.296934767,,-0.48334263,,,,AAP,Public (direct listing),0.03874392470095601,-0.16813210124141786,0.05734235710318013,-0.37047848798281047,0.38179505102221867,0.0038076282370248576,0.031854511757210706,0.01200154858691449,0.3186595433784667,0.005360395770612092,-0.15006865859621932,0.0451505084550902,0.0019509659076379123,0.07340345213708971,0.0021790978928942807,0.0645756898116806,12194209000.0,0.0,0.010317265095244357,0.06248136981425075,10.621327345686446
Business Services,1.164098,-1.60433158,0.136965668,-0.8671741,-0.738909478,-0.052829024,,-0.351153938,0.951735056,ADV,Public (direct listing),-0.32388381959242873,0.01222663977272287,0.022335535174703852,-0.7429991714995858,0.6487784541305521,-0.0855619183456164,0.009849737539935791,0.058176521552899096,-0.6205767107309044,-0.17480607231270118,-0.14041777423128743,-0.021810403639046766,0.027965765312317963,0.047182292272839425,0.0037047783944468803,-0.012375775021715274,5854268000.0,0.00245923145301855,0.14524690484785852,-0.292262903208105,11.156250521031495
Specialty Retail & Apparel,-0.362568975,,0.754570719,-0.279377968,,-0.581211924,,,,AEO,Subsidiary (proxy = parent listing),0.11081821021944767,,0.12034222182751804,-0.4011476151746266,0.5832033752745086,0.06863703565903617,0.07502563718827841,0.09699531662565763,0.37180754120242887,0.3645827177878094,-0.18939356476651736,0.061236650399590184,-0.01987257221212773,0.04586860584438191,-0.002307921554160958,0.09101201670151289,3786643000.0,,0.1327249962107165,0.0967610060335841,10.616437360392252
Outsourcing & Staffing,-2.203601306,,-0.568465708,0.327120155,,-0.407754891,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Insurance,0.640898631,0.560164138,-0.495318972,-0.021386012,1.219592113,0.60313366,,0.469276654,2.140059024,AFL,Public (direct listing),0.033536261367259255,-0.11115752343822516,,0.19548852742437783,0.23575762269500622,0.0386500817020709,,0.27657109759629317,-0.18782310429841487,-0.1509229408884436,-0.10717681335830265,0.026007684408093184,0.002912715339401318,0.20752478077175707,0.011607626792502365,-0.00451195146469624,157542000000.0,,-0.055311718536038695,0.169597007075494,8.778325928634482
Insurance,1.062606296,-0.101353687,1.069728861,-0.017938722,-0.3173436,0.174430749,,0.797195906,-1.286512747,AIG,Public (direct listing),0.019583400353868425,-0.4233913628931423,,0.0777943529951568,0.32698401641979524,0.019387196538394897,,-0.023324475937407718,-0.322312752958964,-0.35712671914096006,-0.19580268881617058,0.003996686074120811,0.004686176406913976,,,0.03472071680015215,596112000000.0,0.05059955176208498,0.10247613710678521,0.15312799206636377,10.507803519389457
Travel & Leisure,-0.100801444,,-0.255713898,-1.559741544,,-0.832193559,,,,ACDVF,Public (direct listing),-0.05761344765648829,1.586875,-0.011294998791978738,-0.19877886905327524,0.47020023281968315,,,,0.08560913173876838,-0.20543849941158432,0.12255095301035723,-0.11765858757431241,,-0.443125,,,30614000000.0,0.5397203893643431,,-0.24310232733717732,
Industrials,0.118676086,-0.560377615,-1.901391247,-1.182458057,0.564999963,-0.552066915,-0.420815283,-1.501405419,0.23197441,AIQUY,Public (direct listing),0.05571307403368472,0.282805080823491,0.1624173180998196,-0.10534480047900263,0.2853198367765666,,,,-0.11143210246366153,-0.21632908468323753,-0.11429071760535292,0.05498139285340219,,0.17828736479421292,,,46783100000.0,0.29670115917927625,,0.05380606898218513,
Industrials,0.749668574,0.405152672,1.882278634,1.091365315,0.930617765,0.817338438,0.734392066,0.870436152,-0.886515929,EADSY,Public (direct listing),0.036629752294211,0.12682889413028064,0.0893759678709392,-0.10070777653487839,0.3812229284219077,0.03767453306007901,0.06732479422024294,-0.06579530350022156,-0.011824114375623251,-0.19305587210413444,-0.23109676888774,0.03935654432165311,,0.09267675314962895,,,107047000000.0,0.12574850299401197,,-0.051478190771862255,
Travel & Leisure,0.405783683,,0.942261294,1.015177389,,0.087399807,,,,ALK,Public (direct listing),0.004088537995206542,0.5618523316062176,0.0673854447439353,-0.22325054207250228,0.4136578639042727,0.003624807587268484,0.0288154422996806,0.05196047178833285,-0.46565346614602243,-0.3198157902758918,-0.18941840324995962,0.0342627768618737,,0.1091321243523316,,,13951000000.0,0.2928822306644685,,-0.12687891221377964,10.0359621369355
Grocery Stores,0.396540988,,0.346228209,-0.003299988,,0.337055541,,,,ACI,Public (direct listing),0.05758987305763966,,0.033690375172145175,-0.059213342377596345,0.386448859920861,0.008113491852453128,0.00860140070335748,0.07727333173754625,-0.47300109868162055,-0.49001539708213404,-0.2141873110910657,0.028680115450755966,0.016694868250250405,0.023281192385542653,0.006287935413615322,0.05969826437776948,28123000000.0,,-0.00010397812679253421,0.3011235005235168,12.577636201962656
Life Sciences & Biopharma,-0.129575464,0.307684821,-0.953607837,-0.769848158,0.346540043,-0.287627431,-0.66813568,-0.83645215,-0.487401424,ALC,Public (direct listing),0.011486370649751415,0.051381015559039955,0.07709074222783067,-0.1687046277083034,0.31986292150534323,0.0259824721418091,0.11134098175662968,0.09421754953497774,-0.4148984498694014,-0.4880562914912172,-0.2513911213429947,0.013429051037537054,,0.06995537329634544,,,27999000000.0,0.15996999892853317,,0.09595821476228912,8.294049640102028
Grocery Stores,-1.751406317,,0.11764845,0.490289652,,0.194248375,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Specialty Retail & Apparel,-0.153257026,,0.834912751,0.22795162,,0.486135097,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Business Services,1.188802976,1.172126218,0.515676531,-0.659909004,-0.162372946,1.018543882,,0.408040476,0.017248686,ALIT,Public (direct listing),-0.005518469069870939,,-0.04259175351155415,-0.19183619962822962,0.5562430833699712,-0.58260295919329,0.008896797153024912,-0.025547445255474477,-1.1986570470404692,-1.0690805492691327,-0.8377831007849147,,,0.07886287794519163,,0.06896551724137923,1036571485.0,0.03569459563128924,,-0.0637175398136663,9.615805480084347
Insurance,0.753402752,-0.624729455,0.182844999,-1.11462021,-0.035110473,-0.519972112,,0.235663269,-0.744689019,ALIZY,Public (direct listing),0.006860797715987977,-0.32840527789691454,,-0.09301431009207062,0.29562469942134856,0.011872712922790393,,0.15376044568245129,-0.03677750340002306,-0.0896521610026646,-0.053126215748559025,0.006026787749482572,,,,,1096770000000.0,0.03243068282319903,,0.010499314511552246,
Financial Services,0.987894597,-0.579102091,0.305961957,-0.158723568,1.223096433,0.050073152,,-0.036803269,-0.001264232,AIBGY,Public (direct listing),0.005911276897465935,0.23190859077443937,,0.4858894296408751,0.5400625112190433,,,,0.583689512117368,0.2765113730395703,0.18863037654701786,0.005059628543499511,,,,,127875000000.0,0.061317693059628545,,0.22504046997679705,
Outsourcing & Staffing,-0.237060418,,-0.738395851,-1.649577273,,-1.771462169,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Insurance,0.702163189,0.261027911,0.283765929,-0.774627817,-0.474906568,0.110120185,,0.665185084,0.621906018,ALL,Public (direct listing),-0.01315453775423772,0.03979046836483158,,0.13570421719529735,0.30248624469689694,0.10119451863024086,,0.030006763819713456,-0.14721511271849086,-0.1914161019027667,-0.15048323223820226,0.033582362141390175,-0.012164227636412074,,,0.0660099260737399,99440000000.0,0.08020917135961383,0.006845958677591485,0.09684965483742373,10.902279505922026
Financial Services,0.345774404,0.189421186,-0.900100021,0.108167741,-0.135213903,-0.446819697,,-1.128016559,0.803048404,ALLY,Public (direct listing),0.008935180840970463,0.05239179954441919,,-0.5052201647467254,0.4610082800164169,0.007210231711332485,,0.3407407407407408,-0.004035334918065736,-0.139784099268361,-0.009404919911013332,0.010750870588650652,0.0036544255185849846,,,0.08361875743244362,182114000000.0,0.03222706656270248,0.014982144125637194,0.029678679245546458,9.259130536145614
Business Services,0.000534928,-1.081612982,-1.127265583,-1.697194375,0.45668183,-1.250442605,,-1.327481411,1.124095311,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Tech Giants,-0.467535053,0.837689168,0.849934926,-0.261829542,0.300664502,0.258665061,-0.054585212,0.825681837,-0.969583676,GOOGL,Public (direct listing),0.16418809409084936,0.09780815643715779,0.2646127084246701,-0.370920772919069,0.3874360114810825,0.27412669256652417,0.32693331818536847,0.21790012633818745,0.7058801468729579,0.9314981332855137,0.41686747555460135,0.1244721991671167,,0.2114891540063142,,,275909000000.0,0.0,-0.01494858184558218,0.1891319939765748,
Business Consulting,-1.255154894,0.323555451,-2.613851483,-0.864590665,-0.239034133,-1.806575116,,-1.75812844,1.978318517,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Industrials,0.097982894,-0.336086471,1.503607696,-0.608624048,1.00155048,-0.343060647,0.21620123,0.129049539,0.477352451,ALSMY,Public (direct listing),-0.019039816483696542,,0.008079632861482774,-0.3435628080580454,0.5126662987308149,,,,0.15401152081331437,-0.3658305721890269,-0.38828434622010066,-0.019039816483696542,,0.008079632861482774,,,30515000000.0,0.12076028182860889,,-0.13808502084010224,
Business Consulting,-0.503977271,1.15874011,-0.785783069,0.093483793,0.354112125,0.649773972,,1.298183175,0.636767862,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Tech Giants,-1.634324192,-0.158705571,-2.276575226,-1.960571081,0.716466388,-1.025669684,-0.06160288,-0.414677259,1.956269338,AMZN,Public (direct listing),-0.0058831793375479545,0.09399517263985091,0.023829581912242232,-0.48942029623732275,0.5016868661991455,0.11549105608276362,0.11500371579049404,0.16607244952366274,-0.1196691970525392,-0.008751288150934844,0.08838473116292334,0.06573042724036333,0.013944438011302431,0.054701201307728355,0.0005592954233454377,0.29659398587859476,420549000000.0,0.0035453657005485688,-0.1411195667019543,0.08508957434406213,
Internet,0.131896458,1.350833576,0.556768389,-0.869699962,1.71693558,1.408545668,-0.194515834,0.71727832,1.341064175,AMZN,Subsidiary (proxy = parent listing),-0.0058831793375479545,0.09399517263985091,0.023829581912242232,-0.48942029623732275,0.5016868661991455,0.11549105608276362,0.11500371579049404,0.16607244952366274,-0.1196691970525392,-0.008751288150934844,0.08838473116292334,0.06573042724036333,0.013944438011302431,0.054701201307728355,0.0005592954233454377,0.29659398587859476,420549000000.0,0.0035453657005485688,-0.1411195667019543,0.08508957434406213,
Internet,-2.737288751,-1.670474387,-1.915091755,-0.697337652,-0.15724773,-0.971172866,2.315668256,0.02492043,0.998231878,,Subsidiary of private parent,,,,,,,,,,,,,,,,,,,,,
Supply Chain & Logistics,-0.017863675,,-1.28694366,-1.419225439,,-0.176525216,,,,AMZN,Subsidiary (proxy = parent listing),-0.0058831793375479545,0.09399517263985091,0.023829581912242232,-0.48942029623732275,0.5016868661991455,0.11549105608276362,0.11500371579049404,0.16607244952366274,-0.1196691970525392,-0.008751288150934844,0.08838473116292334,0.06573042724036333,0.013944438011302431,0.054701201307728355,0.0005592954233454377,0.29659398587859476,420549000000.0,0.0035453657005485688,-0.1411195667019543,0.08508957434406213,
General Retail,-1.089155157,,-0.251590571,-0.389994791,,0.238792146,,,,AMZN,Subsidiary (proxy = parent listing),-0.0058831793375479545,0.09399517263985091,0.023829581912242232,-0.48942029623732275,0.5016868661991455,0.11549105608276362,0.11500371579049404,0.16607244952366274,-0.1196691970525392,-0.008751288150934844,0.08838473116292334,0.06573042724036333,0.013944438011302431,0.054701201307728355,0.0005592954233454377,0.29659398587859476,420549000000.0,0.0035453657005485688,-0.1411195667019543,0.08508957434406213,
Software & IT Services,-2.380944213,0.289173724,-1.020712516,-1.389755009,0.391519793,-0.827620349,1.908512101,0.347839629,1.110347752,AMZN,Subsidiary (proxy = parent listing),-0.0058831793375479545,0.09399517263985091,0.023829581912242232,-0.48942029623732275,0.5016868661991455,0.11549105608276362,0.11500371579049404,0.16607244952366274,-0.1196691970525392,-0.008751288150934844,0.08838473116292334,0.06573042724036333,0.013944438011302431,0.054701201307728355,0.0005592954233454377,0.29659398587859476,420549000000.0,0.0035453657005485688,-0.1411195667019543,0.08508957434406213,
Media & Entertainment,-0.828944947,1.121236841,0.146614772,-1.109535548,0.717334526,0.393792846,,0.351752175,1.362778345,AMC,Public (direct listing),-0.10657209159770568,0.5472922188377705,-0.09231988546300557,-0.8102387263857085,1.1938389851257523,-0.06864552374503091,0.027544814976747885,0.21205797101449275,-0.9093039817242237,-0.6228911054645632,-0.5518437171173491,-0.1915817182483013,-0.053186661751269945,-1.2150911867522856,-0.19637632180605658,0.1308896022380137,10821500000.0,0.0018481726193226447,0.6601019675800593,3.6572443018396967,10.348109269178812
Software & IT Services,-0.38066778,-0.148712103,0.514707092,-1.249435836,0.323446606,0.031856161,0.634141875,0.849597378,0.00658378,DOX,Public (direct listing),0.08598860821235876,0.0671674470228325,0.14525693966631395,0.20220047296228216,0.20806825183201616,0.08631218413911264,0.1774107190951879,0.0388015277392455,-0.48457185732076546,-0.5382516761525401,-0.35148952907441244,0.09019713135937316,0.0013422075626667994,0.14173327795951937,0.0014462624892446756,0.038670377653066135,6390393000.0,,0.023505833670084925,0.11033747296426626,
Industrials,-0.027172021,-1.977348363,-0.785405528,-1.307867394,0.389013595,-0.157090364,-0.43336694,-0.44236193,0.846463914,AMTM,Public (direct listing),-0.01990521327014218,0.5074626865671641,0.02488275143303804,,,0.012972214918047155,0.031617491725934796,-0.0037238613577771362,0.2777630519571259,-0.2643997804988376,-0.21499346666762953,,,0.06578947368421052,,,,,,,
Travel & Leisure,-0.239177814,,0.395929466,-1.11005695,,-0.19480705,,,,AAL,Public (direct listing),0.0019624204215340875,0.6388126631416906,0.03675644769353291,-0.32872984703712627,0.5632410241107345,0.003215024669743753,0.03212844233310712,0.10843757469524351,-0.20020182813548026,0.034467008581446246,0.16073954303902505,-0.048390141823709376,-0.029043573175635776,-0.1898518645229751,-0.05120379116667579,0.051199357161720194,66467000000.0,0.03482931379481547,0.6300054401183008,-0.19681345334820458,11.723186390453424
Specialty Retail & Apparel,-0.024514479,,0.542484556,0.378787313,,0.32246544,,,,AEO,Public (direct listing),0.11081821021944767,,0.12034222182751804,-0.4011476151746266,0.5832033752745086,0.06863703565903617,0.07502563718827841,0.09699531662565763,0.37180754120242887,0.3645827177878094,-0.18939356476651736,0.061236650399590184,-0.01987257221212773,0.04586860584438191,-0.002307921554160958,0.09101201670151289,3786643000.0,,0.1327249962107165,0.0967610060335841,10.616437360392252
Financial Services,0.822080545,0.059929012,0.145225216,0.296577537,0.230693559,0.187303624,,0.274538669,-0.487500505,AXP,Public (direct listing),0.03290505092969687,0.22516049783298953,,-0.14484911066268902,0.3561778677073575,0.037336155174651345,,0.11439853833912883,-0.021858831160765035,-0.24487024591201767,-0.16743608576897473,0.03107032703391796,0.004333312199231479,,,0.0208316177544286,188548000000.0,0.2051201815983198,0.227137700358741,0.08880260548258719,11.06663836234181
Insurance,-0.804836168,-1.771316951,-1.48557196,-1.013043985,-2.940443078,-2.148490903,,-2.447074041,0.210097024,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Financial Services,-0.431163262,0.841275065,0.28929595,-0.41316433,0.744589942,0.816816609,,0.136156929,0.794206754,AMP,Public (direct listing),0.01982348349406995,0.06585931075727003,,-0.01282978973608373,0.3557678054301777,0.02076389268345992,,0.1051906293063849,-0.28938577056397974,-0.3977812727701455,-0.21304611432143905,0.012466409049318177,0.001607816786539268,,,0.018400038921235373,175979000000.0,,0.07731573135693255,0.28385732667109576,9.392661928770137
Life Sciences & Biopharma,0.976977414,1.182531109,0.432965163,0.302185588,0.902429225,0.460469411,0.617577834,1.773010486,0.426439623,AMGN,Public (direct listing),0.10061270557884554,0.013241464259594382,0.363408426091251,0.19206365525950164,0.21632488878576342,0.08639595932744068,0.2839333691563675,0.057553073996809534,-0.07781876080450711,-0.042254986819723284,0.014551694377508362,0.1143613895738389,-0.017497717138215317,0.3558666495706831,-0.06002303448196156,0.055046379165706094,61165000000.0,0.00142238208125562,-0.03751076346133499,0.06750035312138118,7.609862200913554
Outsourcing & Staffing,0.482192943,,0.826316799,0.790612118,,0.314478678,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Outsourcing & Staffing,2.940958605,,2.657438549,0.41384274,,0.524147195,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Specialty Retail & Apparel,-0.565372655,,-1.306439999,1.247574329,,0.609291366,,,,URBN,Subsidiary (proxy = parent listing),0.08192761042447447,,0.08981914423767516,-0.15988912779137654,0.5185126333996428,0.09742593628243881,0.09768347469298204,0.1142112717478212,0.08316311584054126,-0.24913970884981518,-0.1430788917153235,0.06772640380009998,-0.02183610486305176,0.061426858885454474,-0.007716750930626552,0.06430660248810711,3791347000.0,,0.15509141435318632,-0.027955664849190875,10.043249494911286
Insurance,-0.168575228,0.159979119,0.979834703,0.552232426,0.224868315,0.524029618,,0.869328259,-0.07686298,AON,Public (direct listing),0.07916462818003914,0.023456081358156355,0.2940139434249539,0.048681302468358334,0.28053377737798346,0.07585875108245935,0.2827976667047924,0.06449566504546422,-0.4259507066380426,-0.34667114285515477,-0.2583416646014529,0.050911181409508156,-0.00638962241573566,0.20655640180332427,-0.012769617445983142,0.05332798943607531,31917000000.0,0.2942632452924774,0.009321793516626315,0.17781824934864185,4.787491742782046
Outsourcing & Staffing,-0.142990882,,0.56702215,0.733773297,,0.79365639,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Software & IT Services,2.097806233,-3.271919728,0.926175976,-0.920588475,0.811883231,0.671815895,,0.237755363,1.199320615,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Tech Giants,-1.606702686,0.165275352,-0.069141472,-0.017995295,1.102337403,-0.112597686,-0.022107674,-0.266612982,1.424627506,AAPL,Public (direct listing),0.2829244092925685,0.0779378760418461,0.30288744395528594,-0.24940918271510826,0.35610521258951056,0.3402226748038845,0.32643396050876966,0.16595182415922993,0.09990844885697214,0.27117869507544534,0.08678060456188308,0.2232880696250013,0.045156926731453634,0.27197613366498496,0.02278524479423975,0.15521750904745932,352755000000.0,0.031545973834531046,0.011408536136006278,0.29367121856107614,12.007621706806336
Restaurants & Fast Food,-0.127668732,,0.319481334,0.39853726,,0.612084647,,,,DIN,Subsidiary (proxy = parent listing),,,,,,,,,,,,,,,,,,,,,
